BibID,Shelfmark,Title,Full Coverage?,Facets,
9915804523503681,Ms. Codex 110,[Alchemical miscellany] [manuscript].,,"Latin, 15th century, 1400, Codices Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Alchemy Chemistry History, Paper, , [England?, between 1400 and 1450]",
9915804523503681,Ms. Codex 110,[Alchemical miscellany] [manuscript].,N,"15th century, Science, Alchemy, English, England, History, Paper",
9915804533503681,Ms. Codex 110,[Tractatus trium verborum] [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Bacon, Roger, 1214?-1294, Paper, , [England?, between 1400 and 1450?]",
9915804533503681,Ms. Codex 110,[Tractatus trium verborum] [manuscript].,N,"15th century, England, English, Paper",
9915804543503681,Ms. Codex 110,[Quaestiones inter Kalid regem et Morienum philosophum] [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Khālid ibn Yazīd al-Umawī, 7th cent, Morienus, Paper, , [England?, between 1400 and 1450]",
9915804543503681,Ms. Codex 110,[Quaestiones inter Kalid regem et Morienum philosophum] [manuscript].,N,"15th century, Paper, England, English",
9915804553503681,Ms. Codex 110,[Summa perfectionis magisterii] [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Jabīr ibn Ḥayyān, Paper, , [England?, between 1400 and 1450?]",
9915804553503681,Ms. Codex 110,[Summa perfectionis magisterii] [manuscript].,N,"15th century, England, Paper, English",
9915804563503681,Ms. Codex 110,[De anima] [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Avicenna, 980-1037, Paper, , [England?, 1400 and 1450?]",
9915804563503681,Ms. Codex 110,[De anima] [manuscript].,N,"15th century, England, Paper, English",
9944799583503681,Ms. Codex 1477,Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia [manuscript].,,"Italian, 16th century, 1546, Accounts Codices Manuscripts, Italian - 16th century Manuscripts, Renaissance, Charles V, Holy Roman Emperor, 1500-1558, Sicily (Italy), Gonzaga, Ferrante, 1507-1557, Paper, , [Milan], 1546.",
9944799583503681,Ms. Codex 1477,Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia [manuscript].,,"Accounts, 16th century, Italian, Paper, Italy",
9944799623503681,Ms. Codex 1477,[Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia] ... [etc.] [manuscript].,,"Italian, 16th century 17th century, 1546, Codices Manuscripts, European Manuscripts, Italian - 16th century Manuscripts, Italian - 17th century Manuscripts, Renaissance, Gonzaga, Ferrante, 1507-1557, Paper, , [Italy, 1546, ca. 1600-1625]",
9944799623503681,Ms. Codex 1477,[Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia] ... [etc.] [manuscript].,,"16th century, 17th century, Italian, Paper, Italy",
9915806223503681,Ms. Codex 78,"[Miscellany of works on Catholic doctrine, canon law and religious life] [manuscript].",,"Latin, 15th century, 1400, Codices Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Canonists Catholic Church Christian life Devotional exercises Discipline, Paper, , [Germany, between 1400 and 1450]",
9915806223503681,Ms. Codex 78,"[Miscellany of works on Catholic doctrine, canon law and religious life] [manuscript].",N,"15th century, Germany, Paper, Christian, Devotion, German",
9915806233503681,Ms. Codex 78,Registers of Peter Lombard's four books of Sententiae [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Augustine, of Hippo, Saint, 354-430 Peter Lombard, Bishop of Paris, ca. 1100-1160, Paper, , [Germany, between 1400 and 1450]",
9915806233503681,Ms. Codex 78,Registers of Peter Lombard's four books of Sententiae [manuscript].,N,"15th century, Germany, Paper, Christian, German",
9915806243503681,Ms. Codex 78,Tractatus de superstitionibus [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance Treatises, Jauer, Nikolaus, ca. 1355-1435, Paper, , [Germany, between 1400 and 1450]",
9915806243503681,Ms. Codex 78,Tractatus de superstitionibus [manuscript].,N,"15th century, Germany, Paper, Christian, Treatise, German",
9915806253503681,Ms. Codex 78,Lecturae super firmiter credimus ... lectae in studio Wienensi [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Bartholomaeus, de Ebraco, d. 1430, , [Germany, between 1400 and 1450]",
9915806253503681,Ms. Codex 78,Lecturae super firmiter credimus ... lectae in studio Wienensi [manuscript].,N,"15th century, Germany, German",
9915806263503681,Ms. Codex 78,Tractatus de indulgentiis [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance Treatises, Caspar, de Caldrinis, Paper, , [Germany, between 1400 and 1450]",
9915806263503681,Ms. Codex 78,Tractatus de indulgentiis [manuscript].,N,"15th century, Treatise, Paper, Germany, German",
9915806273503681,Ms. Codex 78,Prohibitio de proprietate tenenda [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Paper, , [Germany, between 1400 and 1450]",
9915806273503681,Ms. Codex 78,Prohibitio de proprietate tenenda [manuscript].,N,"15th century, Paper, Germany, German",
9915806283503681,Ms. Codex 78,De horis canonicis [manuscript].,,"Latin, 15th century, 1400, Manuscripts, Latin - 15th century Manuscripts, Medieval Manuscripts, Renaissance, Paper, , [Germany, between 1400 and 1450]",
9915806283503681,Ms. Codex 78,De horis canonicis [manuscript].,N,"15th century, Paper, Germany, German",
9931755613503681,Ms. Codex 827,[De improbatione concentricorum et epicyclorum ... etc.] [manuscript].,,"Latin, 14th century, 1362, Codices Manuscripts, Latin - 14th century Manuscripts, Medieval, Astronomy, Heinrich, von Langenstein, approximately 1325-1397, Parchment, , [England, between 1362 and 1399]",
9931755613503681,Ms. Codex 827,[De improbatione concentricorum et epicyclorum ... etc.] [manuscript].,,"14th century, England, English, Astronomy",
9935560683503681,Ms. Codex 827,[De improbatione concentricorum et epicyclorum] [manuscript].,N,"Latin, 14th century, 1362, Codices Diagrams Manuscripts, Latin - 14th century Manuscripts, Medieval, Astronomy Early works to 1800, Heinrich, von Langenstein, approximately 1325-1397, Parchment, , [England, between 1362 and 1399]",
9935560683503681,Ms. Codex 827,[De improbatione concentricorum et epicyclorum] [manuscript].,N,"14th century, Diagrams, Astronomy, England, English",
9935561053503681,Ms. Codex 827,Speculum philosophiae [manuscript].,N,"Latin, 14th century, 1362, Codices Manuscripts, Latin - 14th century Manuscripts, Medieval, Astrology Astronomy, Parchment, , [England, between 1362 and 1399]",
9935561053503681,Ms. Codex 827,Speculum philosophiae [manuscript].,N,"14th century, Astronomy, England, English, Astrology",
