BibID,Shelfmark,Title,Full Coverage?,Facets,,folder
9968529323503681,CAJS Rar Ms 125,[al-Aḥādīth = Hadiths].,,"16th century, Paper, Fragment, Arabic, Islamic, Hadith",,cajs_rarms125
9968529583503681,CAJS Rar Ms 126,Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá / ʻIyāḍ ibn Mūsa. Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,,"15th century, Arabic, Hadith, Islamic, Paper",,cajs_rarms126
9924282513503681,CAJS Rar Ms 13,"Bible. Joshua IV, 18-VIII, 6. [Fragment of Joshua, chapters IV, 18-VIII, 6.].",,"13th century, 14th century, Jewish, Damage",,cajs_rarms13
9968530023503681,CAJS Rar Ms 132,[Islamic prayers].,,"16th century, Diagram, Document, Arabic, Islamic",,cajs_rarms132
9944235503503681,CAJS Rar Ms 137,"Kitāb Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn, 1402. Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn",N,"15th century, Paper, Arabic, Literature -- Prose, Biography",,cajs_rarms137
9968530723503681,CAJS Rar Ms 142,Muntahá al-irādāt fī jamʻ al-Muqniʻ maʻa al-tanqīḥ wa-ziyādāt / al-Ḥanbalī.,,"16th century, Arabic, Islamic, Paper, Legal",,cajs_rarms142
9968531063503681,CAJS Rar Ms 143,[Hidāyah]. Hidāyah,,"16th century, Paper, Commentary, Islamic, Arabic, Legal",,cajs_rarms143
9968531323503681,CAJS Rar Ms 147,[Commentary on Manār al-anwār fī al-uṣūl].,,"16th century, Commentary, Legal, Paper, Islamic",,cajs_rarms147
9968531423503681,CAJS Rar Ms 159,[Mughnī al-labīb ʻan kutub al-aʻārīb]. Mughnī al-labīb ʻan kutub al-aʻārīb,,"16th century, Arabic, Islamic, Grammar, Paper",,cajs_rarms159
9968531643503681,CAJS Rar Ms 205,[Inni della Beata Vergine Maria].,,"17th century 18th century 19th century, Ethiopic, Ethiopia, Hymnal, Document",,cajs_rarms205
9968531703503681,CAJS Rar Ms 207,Kitāb-i Gulistān. Gulistān,,"16th century, Persian, Iran, Islamic, Literature--Poetry",,cajs_rarms207
9968532163503681,CAJS Rar Ms 211,Kitāb-i Tīmūrnāmah. Tīmūrnāmah,,"16th century, Persian, Iran, Islamic, Literature--Poetry",,cajs_rarms211
9968532693503681,CAJS Rar Ms 214,Īn kitāb dar ṭibb / taṣnīf-i Shaykh Ṭāhir.,,"13th century 14th century, Iran, Persian, Science-Medicine, Arabic, Islamic",,cajs_rarms214
9968535693503681,CAJS Rar Ms 216,Kıya-yı Hazret-i Yûsuf Zulaykhâ. Yūsuf va Zulaykhā. Ottoman Turkish,,"16th century, Paper, Turkish, Turkey, Bible, Theology",,cajs_rarms216
9968536053503681,CAJS Rar Ms 228,"[Los dos tratados del Papa, i de la Misa].",,"16th century, Spain, Spanish, Mass book, Paper, Liturgy",,cajs_rarms228
9924372983503681,CAJS Rar Ms 242,"Bible. Pentateuch. Selections. [Yemenite manuscript consisting of Va-yiḳra, Ba-midbar, Devarim].",,"16th century, Bible, Jewish, Paper",,cajs_rarms242
9924613943503681,CAJS Rar Ms 26,Pesikta rabbati. Pesiḳta rabata.,,"16th century, Jewish, Paper",,cajs_rarms26
9933866253503681,CAJS Rar Ms 280,Qurʼan. Koran.,N,"Arabic, 14th century, Paper, Islamic, Qur`an, Scripture",,cajs_rarms280
9924292193503681,CAJS Rar Ms 30,Siddur (Italian) Sidur = Prayer book of Italian rite.,,"14th century, Jewish",,cajs_rarms30
9968536193503681,CAJS Rar Ms 303,"Carta executoria de hidalguia a pedimiento de Rrodrigo Calera, v[e]z[ino] de Villarrobledo.",,"16th century, Spain, Spanish, Illumination, Theology, Church Fathers",,cajs_rarms303
9968536303503681,CAJS Rar Ms 364,"Bible. Pentateuch. [Torah with Masorah, and haftarot].",,"14th century 15th century, Jewish, Bible",,cajs_rarms364
9924292273503681,CAJS Rar Ms 38,Siddur (Roman rite). Selections. Reshut le-nishmat le-Fesah leha-R. Binyamin. Yeʻidot yagidun.,,"15th century, Prayer book, Liturgy, Jewish, Damage",,cajs_rarms38
9931288023503681,CAJS Rar Ms 382,Maḥzor. High Holidays. [Maḥazor minhag Ashkenaz le-Yamim ha-noraʼim ule-Sukot].,,"13th century, 14th century, Jewish, Liturgy",,cajs_rarms382
9924633643503681,CAJS Rar Ms 395,Yoreh deʻah ʻim perushe ve-ḥidushe Yosef Ḳaro ... be-ḥibur Bet Yosef. Yoreh deʻah,,"16th century, Annotated, Legal, Paper, Jewish",,cajs_rarms395
9968536483503681,CAJS Rar Ms 400,Bible. Deuteronomy. Selections. Manuscript leaf from Vulgate Deuteronomy.,,"13th century, Fragment, Bible",,cajs_rarms400
9968536633503681,CAJS Rar Ms 415,"Manuscript leaves from a breviary, 1300s. Breviary. Selections",,"14th century, Breviary, Liturgy, Devotion",,cajs_rarms415
9968536683503681,CAJS Rar Ms 416,Manuscript leaf from a book of hours. Book of hours. Selections,,"15th century, Book of hours, Devotion, Fragment",,cajs_rarms416
9968536753503681,CAJS Rar Ms 419,"Letter of appeal, 1490.",,"15th century, Italy, Italian, Paper",,cajs_rarms419
9968541273503681,CAJS Rar Ms 445,Bible. Numbers. Selections. Manuscript leaf from the Book of Numbers.,,"14th century, Jewish, German, Germany, Fragment",,cajs_rarms445
9968541413503681,CAJS Rar Ms 446,"Bible. Deuteronomy. Selections. [Manuscript leaf of most of  Deuteronomy XV, 6-XVI, 10, with Masorah]",,"13th century, Jewish, Fragment, Bible",,cajs_rarms446
9968541493503681,CAJS Rar Ms 447,[Manuscript leaf from an Ashkenazic maḥzor for Pesaḥ].,,"13th century, Jewish, Literature--Poetry, Fragment, Liturgy",,cajs_rarms447
9924292153503681,CAJS Rar Ms 448,Maḥzor. High Holidays. Selections. [Manuscript leaves from an Ashkenazic Maḥzor for the High Holidays].,,"13th century, 14th century, Jewish, Prayer book, Piyutim, Liturgy, Damage",,cajs_rarms448
9964307213503681,CAJS Rar Ms 460,Tavnit ha-mishkan [manuscript] : Ḥanukat ha-bayit.,,"17th century, Jewish, Italy, Italian, Theology",,cajs_rarms460
9961263533503681,Folio GrC St812 Ef512g,[Partial copy of Chronicon] [manuscript].,,"15th century, History, Belgian, Belgium, Chronicle",,folio_grc_st812_ef512g
9915808383503681,Folio Inc P-762,[Cookery book] [manuscript]. De re coquinaria. Selections,Y,"15th century, Recipe book, Italian, Italy, Paper",,folio_inc_p_762
9951865503503681,LJS 101,Periermenias Aristotelis ... [etc.] [manuscript].,Y,"11th century 9th century, Commentary, Diagrams, Illumination, Philosophy, French, France",,ljs101
9957602663503681,LJS 108,"Interpretationes Hebraicorum nominum. Selections. Manuscript leaf from Interpretationes Hebraicorum nominum, ca. 1220.",N,"13th century, Dictionary, Fragment, Glossary, England, English",,ljs108
9949945603503681,Oversize LJS 110,"John Elys deed : manuscript, 1358.",N,"14th century, Charter, Legal, English, Document",,oversize_ljs_110
9949879143503681,LJS 115,"Manuscript leaf from Summa de poenitentia et matrimonio, between 1225 and 1275. Summa de poenitentia et matrimonio. Selections.",N,"13th century, Fragment, Legal, Christian, Instructional materials",,ljs115
9949967773503681,LJS 119,"Manuscript leaf from a collection of papal decretals, 1300s.",N,"14th century, Legal, Pontifical, Christian, Commentary, Fragment",,ljs119
9949349953503681,Oversize LJS 124,"Manuscript leaf from Speculum historiale, Book 29, ca. 1400. Speculum historiale. Selections",N,"14th century 15th century, Fragment, History",,oversize_ljs_124
9949282643503681,Oversize LJS 16,"[Speculum historiale, Books 25-28] [manuscript]. Speculum historiale. Selections.",N,"Encyclopedia, 14th century 15th century, French, France, Chronicle, Dictionary, History",,oversize_ljs_16
9958778333503681,LJS 172,[Tabulae directionum et profectionum] [manuscript]. [Tabella sinus recti].,N,"15th century, Tables, Astronomy, Paper, Austria, Hungary, Austrian",,ljs172
9950293063503681,Oversize LJS 174,Alphonsine Tables. Tabule illustrissimi principis regis alfonsii ... [etc.] [manuscript].,N,"15th century, Tables, Paper, Astronomy, Czech Republic, Czech",,oversize_ljs_174
9958279783503681,Oversize LJS 177,Paludi Ponti[ne] [manuscript] ; visita delle strade di Roma.,Y,"Hybrid book, 16th century 17th century 18th century, Paper, Italy, Italian, Accounts, Financial records, City planning",,oversize_ljs_177
9958452103503681,Oversize LJS 184,Liber ethimologiarum [manuscript]. Etymologiae,N,"Encyclopedia, 13th century, Illumination, Dictionary, Spain, Catalan",,oversize_ljs_184
9950289983503681,LJS 188,Ynstruction of the ephimeredes [manuscript].,N,"16th century, English, England, Document, Tables, Paper, Astronomy, Instructional materials",,ljs188
9949222153503681,Oversize LJS 189,[Zakhīrah-ʹi Khvārazmshāhī] [manuscript].,N,"Encyclopedia, 14th century, Persian, Iran, Illumination, Science -- Medicine, Paper",,oversize_ljs_189
9949237593503681,Oversize LJS 19,[Carta executoria de hidalguia a pedimiento [manuscript] : de Johan Garcia y la Puente de Mora].,N,"16th century, Spain, Spanish, Illumination, Christian",,oversize_ljs_19
9950320043503681,LJS 191,[Treatise on astronomy and astrology] [manuscript].,Y,"15th century, English, England, Astrology, Astronomy, Treatise, Paper, Document, Tables",,ljs191
9948120243503681,LJS 194,Geometria [manuscript] / Geberti.,,"12th century, Diagrams, Austria, Austrian, Astronomy, Geometry",,ljs194
9958589513503681,LJS 195,[Medical miscellany] [manuscript].,N,"Anthology, 15th century, Paper, German, Germany, Science -- Medicine, Paper",,ljs195
9953161073503681,LJS 198,[De simplicibus] [manuscript].,N,"14th century, Treatise, Science -- Medicine, Spain, Spanish",,ljs198
9949240153503681,Oversize LJS 20,"Carta ex[ecutoria] de hidalguia a pedimi[ento] [manuscript] : de Alo[n]so Gayta[n] d[e] Cuenca Truxillo, vezino de Xeres d[e] la Frontera.",N,"16th century, Spain, Spanish, Illumination",,oversize_ljs_20
9953161123503681,LJS 204,[Shesh kenafayim] [manuscript].,N,"16th century, Tables, Document, Astrology, Astronomy, Italy, Jewish",,ljs204
9949956063503681,Oversize LJS 211,"Roger Bigod deed : manuscript, ca. 1201-1205.",N,"14th century, Charter, Legal, English, Document, Seals, History",,oversize_ljs_211
9957604903503681,Oversize LJS 212,"Manuscript leaf from expense records, 1380.",Y,"14th century, French, France, Fragment, Accounts, Financial records",,oversize_ljs_212
9950345623503681,LJS 215,[Scientific miscellany] [manuscript].,Y,"Anthology, 16th century, French, France, Diagrams, Astrology, Astronomy, Science -- Medicine, Paper, Miscellany",,ljs215
9948124823503681,LJS 216,Tractatum de spera ... [etc.] [manuscript]. Sphaera mundi,,"13th century, Illumination, Diagrams, French, France, Science, Mathematics",,ljs216
9958854883503681,LJS 220,Recueil de diverses recettes médécinales [manuscript].,N,"15th century, France, French, Science -- Medicine, Paper, Astronomy",,ljs220
9948175023503681,LJS 223,Questiones logicales ... [etc.] [manuscript].,,"16th century, Logic, Paper, Diagrams, Philosophy, Science",,ljs223
9959387343503681,Oversize LJS 224,[Expositio in libros Posteriorum Aristotelis] [manuscript].,,"15th century, Diagrams, Commentary, Paper, Logic, Italy, Italian, Philosophy, Science",,oversize_ljs_224
9948179063503681,LJS 225,Litterarum simulationis liber [manuscript].,,"15th century, Italy, Italian, Illumination, Science, Geometry, Mathematics",,ljs225
9950511113503681,LJS 226,Certain astrological and astronomical figures [manuscript] : cut out of a manuscript book dated 1410.,N,"15th century, Diagrams, Fragment, Astrology, Astronomy, England, Spain, Tables, Spanish, English",,ljs226
9959415183503681,LJS 229,[Commentaries on Aristotle and Porphyry] [manuscript].,,"15th century, Paper, Logic, Spain, Spanish, Commentary, Diagrams, Science, Philosophy",,ljs229
9947469813503681,LJS 23,[De natura rerum] [manuscript]. De natura rerum. Selections.,,"13th century, History, Philosophy, France Flanders, French Flemish",,ljs23
9949875283503681,Oversize LJS 231,Statutum habelle communu[m] [et] t[er]rar[um] Barge [manuscript].,Y,"14th century, Legal, Italian, Document, Paper, Italy",,oversize_ljs_231
9948181893503681,LJS 232,"Trattato delle proportioni et proportionalità [manuscript] ; Dialogo sopra la particolare dichiaratione del giuoco di Pitagora inter locutori Carlo Strozzi, Cosimo Rucellai, et Iacopo Vettori.",,"16th century, Diagrams, Italy, Italian, Paper, Mathematics, Treatise",,ljs232
9959419423503681,Oversize LJS 234,Liber phisicorum sive auditus phisici [manuscript]. Physica,,"14th century, Commentary, French, France, Commentary, Philosophy, Science, Illumination",,oversize_ljs_234
9950569233503681,LJS 235,[Kitāb al-Adwār] [manuscript]. Adwār,Y,"16th century, Arabic, Paper, Commentary, Diagrams, Philosophy, Paper, Central Arab lands (Near East)",,ljs235
9958895573503681,LJS 236,Thesaurus pauperum ... [etc.] [manuscript].,N,"15th century, Italy, Italian, Diagrams, Drawing, Science -- Medicine, Paper",,ljs236
