BibID,Shelfmark,Title,Full Coverage?,Facets
9915805593503681,Ms. Coll. 105,"[Letter to Francesco Maria Sforza, Duke of Milan] : [manuscript].",,"Spanish, 16th century, 1553, Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Milan (Italy) Spain, Charles V, Holy Roman Emperor, 1500-1558, Paper, , "
9915805593503681,Ms. Coll. 105,"[Letter to Francesco Maria Sforza, Duke of Milan] : [manuscript].",N,"16th century, Spanish, Spain, Paper"
9915805603503681,Ms. Coll. 106,[Letter to the Duke of Arcos]  : [manuscript].,,"Spanish, 16th century, 1529, Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Hungary Naples (Kingdom) Spain Turkey, Charles V, Holy Roman Emperor, 1500-1558, Paper, , "
9915805603503681,Ms. Coll. 106,[Letter to the Duke of Arcos]  : [manuscript].,N,"16th century, Spanish, Spain, Paper"
9924875673503681,Ms. Coll. 196,"Letters addressed to Pietro Vettori : manuscript, 1563-1585.",,"Italian, 16th century, 1563, Manuscripts, Italian - 16th century Manuscripts, Renaissance, Cicero, Marcus Tullius Demetrius, Vettori, Pietro, 1499-1585, Paper, , "
9924875673503681,Ms. Coll. 196,"Letters addressed to Pietro Vettori : manuscript, 1563-1585.",,"16th century, Italy, Italian, Paper"
9924866373503681,Ms. Coll. 197,"Acciaiuoli family correspondence, 1342-1395, 1423-1669.",,"Italian, 14th century 15th century 16th century 17th century, 1342, Manuscripts, European Manuscripts, Italian - 14th century Manuscripts, Italian - 15th century Manuscripts, Italian - 16th century Manuscripts, Italian - 17th century, Florence (Italy) Holy Roman Empire Naples (Italy), Acciaiuoli family, Paper, , "
9924866373503681,Ms. Coll. 197,"Acciaiuoli family correspondence, 1342-1395, 1423-1669.",,"14th century, 15th century, 16th century, 17th century, Italian, Italy, Paper"
9915805633503681,Ms. Coll. 270,"[Deed of a dowry of 250,000 ducats to Maria de Urria], ca. 1500.",,"Spanish, 16th century, 1500, Deeds Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Dowry Marriage law, Spain, Maria de Urria, , "
9915805633503681,Ms. Coll. 270,"[Deed of a dowry of 250,000 ducats to Maria de Urria], ca. 1500.",Y,"16th century, Spanish, Spain, Legal, Document"
9927055543503681,Ms. Coll. 276,"Documents related to the Catholic Church in Spain, 1400s.",,"Latin, 15th century, 1400, Fragments Manuscripts, Latin - 15th century Manuscripts, Renaissance, Catholic Church. Archdiocese of Zaragoza (Spain) Felix V, Antipope, 1383-1451, Zaragoza (Spain), Paper, , "
9927055543503681,Ms. Coll. 276,"Documents related to the Catholic Church in Spain, 1400s.",,"15th century, Fragment, Christian, Spain, Paper"
9944784463503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) trial documents for Joan Requesens, 1598-1599.",,"Spanish, 16th century, 1598, Legal documents Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Requesens, Joan Trials (Malicious mischief), Spain, Consejo de Inquisición (Spain), , "
9944784463503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) trial documents for Joan Requesens, 1598-1599.",,"16th century, Spanish, Spain, Legal"
9944788373503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) trial documents for Antoni Vives Pagès, 1596-1597.",,"Spanish, 16th century, 1596, Legal documents Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Trials (Offenses against the person) Vives Pagès, Antoni, Spain, Consejo de Inquisición (Spain), , "
9944788373503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) trial documents for Antoni Vives Pagès, 1596-1597.",,"16th century, Spanish, Spain, Legal"
9944790473503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Bartholome Escola, 1597.",,"Spanish, 16th century, 1597, Genealogies Legal documents Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Escola, Bartholome Nobility, Spain, Consejo de Inquisición (Spain), , "
9944790473503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Bartholome Escola, 1597.",,"Genealogy, 16th century, Spanish, Spain, Legal"
9944791043503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Miguel Ros Pelayre, 1586.",,"Catalan, 16th century, 1586, Genealogies Legal documents Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Nobility Ros Pelayre, Miguel, Spain, Consejo de Inquisición (Spain), , "
9944791043503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Miguel Ros Pelayre, 1586.",,"Genealogy, 16th century, Catalan, Spanish, Spain, Legal"
9944791123503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Marçal Traveria, 1581.",,"Spanish, 16th century, 1581, Genealogies Legal documents Manuscripts, Renaissance Manuscripts, Spanish - 16th century, Nobility Traveria, Marçal, Spain, Consejo de Inquisición (Spain), , "
9944791123503681,Ms. Coll. 49,"Consejo de Inquisición (Spain) genealogy for Marçal Traveria, 1581.",,"Genealogy, 16th century, Spanish, Spain, Legal"
9938824053503681,Ms. Coll. 591,"Breviary fragments, 1100s.",N,"Latin, 12th century, 1100, Breviaries Fragments Manuscripts, Latin - 12th century Manuscripts, Medieval, Breviaries Catholic Church Liturgy Mary, Blessed Virgin, Saint, Catholic Church, Parchment, , "
9938824053503681,Ms. Coll. 591,"Breviary fragments, 1100s.",N,"12th century, Fragment, Breviary, Liturgy, Christian"
9938824063503681,Ms. Coll. 591,"Bible. O.T. Psalms. Latin. Selections. Psalter leaf, 1100s.",N,"Latin, 12th century, 1100, Fragments Manuscripts, Latin - 12th century Manuscripts, Medieval, Parchment, , "
9938824063503681,Ms. Coll. 591,"Bible. O.T. Psalms. Latin. Selections. Psalter leaf, 1100s.",N,"12th century, Fragment"
9938824073503681,Ms. Coll. 591,"Manuscript fragment, 1100s.",N,"Latin, 12th century, 1100, Fragments Manuscripts, Latin - 12th century Manuscripts, Medieval, Parchment, , "
9938824073503681,Ms. Coll. 591,"Manuscript fragment, 1100s.",N,"12th century, Fragment"
9938825163503681,Ms. Coll. 591,"Bible. O.T. Psalms. Latin. Selections. Psalter leaf, 1200s.",N,"Latin, 13th century, 1225, Fragments Manuscripts, Latin - 13th century Manuscripts, Medieval Psalters, Bible. O.T. Psalms Criticism, interpretation, etc, Parchment, , "
9938825163503681,Ms. Coll. 591,"Bible. O.T. Psalms. Latin. Selections. Psalter leaf, 1200s.",N,"13th century, Fragment, Psalter, Commentary, Biblical, Liturgy, Bible, Christian"
9938825663503681,Ms. Coll. 591,"Manuscript leaf from Aurora, 1200s.",N,"Latin, 13th century, 1200, Commentaries Fragments Manuscripts, Latin - 13th century Manuscripts, Medieval Poems, Bible Bible. O.T. Exodus, Peter Riga, ca. 1140-1209, Parchment, , "
9938825663503681,Ms. Coll. 591,"Manuscript leaf from Aurora, 1200s.",N,"13th century, Fragment, Commentary, Biblical, Bible, Literature -- Poetry, Christian"
9938826653503681,Ms. Coll. 591,"Antiphonary fragment, 1200s.",N,"Latin, 13th century, 1200, Antiphonaries Fragments Manuscripts, Latin - 13th century Manuscripts, Medieval, Catholic Church Liturgy, Catholic Church, Parchment, , "
9938826653503681,Ms. Coll. 591,"Antiphonary fragment, 1200s.",N,"13th century, Fragment, Liturgy, Christian, Antiphonary"
9938827173503681,Ms. Coll. 591,"Missal leaf, 1300s.",N,"Latin, 14th century, 1300, Fragments Manuscripts, Latin - 14th century Manuscripts, Medieval Missals, Catholic Church Liturgy, Catholic Church, Parchment, , "
9938827173503681,Ms. Coll. 591,"Missal leaf, 1300s.",N,"14th century, Fragment, Liturgy, Christian, Missal"
9938828653503681,Ms. Coll. 591,"Manuscript leaf from Diaeta salutis, 1300s. Diaeta salutis",N,"Latin, 14th century, 1300, Fragments Manuscripts, Latin - 14th century Manuscripts, Medieval Treatises, Catholic Church Christian life Repentance Spiritual life, Guillaume, de Lanicia, d. after 1310, Parchment, , "
9938828653503681,Ms. Coll. 591,"Manuscript leaf from Diaeta salutis, 1300s. Diaeta salutis",N,"14th century, Fragment, Treatise, Christian, Theology"
9938829403503681,Ms. Coll. 591,"Breviary leaf, 1400s.",N,"Latin, 15th century, 1400, Breviaries Fragments Illuminated manuscripts Manuscripts, Latin - 15th century Manuscripts, Medieval, Breviaries Catholic Church Illumination of books and manuscripts Liturgy, Catholic Church, Parchment, , "
9938829403503681,Ms. Coll. 591,"Breviary leaf, 1400s.",N,"15th century, Fragment, Breviary, Illumination, Christian, Liturgy"
9938829483503681,Ms. Coll. 591,"Breviary leaf, ca. 1480.",N,"Dutch, 15th century, 1480, Breviaries Fragments Illuminated manuscripts Manuscripts, Latin - 15th century Manuscripts, Medieval, Catholic Church Illumination of books and manuscripts Liturgy, Catholic Church, Parchment, , "
